shot_id,train,val,test,fold_1_train,fold_1_val,fold_2_train,fold_2_val,fold_3_train,fold_3_val,fold_4_train,fold_4_val,fold_5_train,fold_5_val,train_ip_negative,val_ip_negative,test_ip_negative
11766,True,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False
11767,True,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False
11768,True,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False
11769,True,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False
11771,True,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False
11772,True,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False
11773,True,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False
11774,True,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False
11775,True,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False
11776,True,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False
11777,True,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False
11779,True,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False
11780,True,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False
11789,True,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False
11790,True,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False
11791,True,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False
11794,True,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False
11795,False,True,False,False,True,False,True,False,True,False,True,False,True,False,False,False
11796,True,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False
11797,False,True,False,False,True,False,True,False,True,False,True,False,True,False,False,False
11798,True,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False
11799,True,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False
11802,True,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False
11804,False,True,False,False,True,False,True,False,True,False,True,False,True,False,False,False
11805,True,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False
11806,True,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False
11807,False,True,False,False,True,False,True,False,True,False,True,False,True,False,False,False
11808,True,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False
11809,True,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False
11810,True,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False
11811,True,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False
11812,False,True,False,False,True,False,True,False,True,False,True,False,True,False,False,False
11815,True,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False
11816,False,True,False,False,True,False,True,False,True,False,True,False,True,False,False,False
11817,True,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False
11818,True,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False
11819,True,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False
11820,False,True,False,False,True,False,True,False,True,False,True,False,True,False,False,False
11821,True,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False
11822,True,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False
11823,True,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False
11824,False,True,False,False,True,False,True,False,True,False,True,False,True,False,False,False
11825,True,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False
11826,True,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False
11827,True,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False
11829,True,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False
11830,True,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False
11831,True,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False
11833,False,True,False,False,True,False,True,False,True,False,True,False,True,False,False,False
11834,True,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False
11835,False,True,False,False,True,False,True,False,True,False,True,False,True,False,False,False
11836,True,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False
11837,True,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False
11838,True,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False
11840,True,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False
11841,True,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False
11847,False,True,False,False,True,False,True,False,True,False,True,False,True,False,False,False
11848,False,True,False,False,True,False,True,False,True,False,True,False,True,False,False,False
11849,False,True,False,False,True,False,True,False,True,False,True,False,True,False,False,False
