shot_id,campaign,train,val,test
11766,M5,True,False,False
11767,M5,True,False,False
11768,M5,True,False,False
11769,M5,True,False,False
11771,M5,True,False,False
11772,M5,True,False,False
11773,M5,True,False,False
11774,M5,True,False,False
11775,M5,True,False,False
11776,M5,True,False,False
11777,M5,True,False,False
11779,M5,True,False,False
11780,M5,True,False,False
11789,M5,True,False,False
11790,M5,True,False,False
11791,M5,True,False,False
11794,M5,True,False,False
11795,M5,False,True,False
11796,M5,True,False,False
11797,M5,False,True,False
11798,M5,True,False,False
11799,M5,True,False,False
11802,M5,True,False,False
11804,M5,False,True,False
11805,M5,True,False,False
11806,M5,True,False,False
11807,M5,False,True,False
11808,M5,True,False,False
11809,M5,True,False,False
11810,M5,True,False,False
11811,M5,True,False,False
11812,M5,False,True,False
11815,M5,True,False,False
11816,M5,False,True,False
11817,M5,True,False,False
11818,M5,True,False,False
11819,M5,True,False,False
11820,M5,False,True,False
11821,M5,True,False,False
11822,M5,True,False,False
11823,M5,True,False,False
11824,M5,False,True,False
11825,M5,True,False,False
11826,M5,True,False,False
11827,M5,True,False,False
11829,M5,True,False,False
11830,M5,True,False,False
11831,M5,True,False,False
11833,M5,False,True,False
11834,M5,True,False,False
11835,M5,False,True,False
11836,M5,True,False,False
11837,M5,True,False,False
11838,M5,True,False,False
11840,M5,True,False,False
11841,M5,True,False,False
11847,M5,False,True,False
11848,M5,False,True,False
11849,M5,False,True,False
11850,M5,True,False,False
11851,M5,True,False,False
11852,M5,False,True,False
11855,M5,True,False,False
11856,M5,True,False,False
11857,M5,True,False,False
11859,M5,False,True,False
11860,M5,True,False,False
11862,M5,True,False,False
11866,M5,True,False,False
11867,M5,False,True,False
11868,M5,True,False,False
11870,M5,True,False,False
11871,M5,True,False,False
11872,M5,False,True,False
11873,M5,True,False,False
11874,M5,True,False,False
11876,M5,True,False,False
11878,M5,True,False,False
11879,M5,True,False,False
11880,M5,False,True,False
11889,M5,False,True,False
11890,M5,True,False,False
11891,M5,True,False,False
11892,M5,True,False,False
11893,M5,True,False,False
11894,M5,True,False,False
11895,M5,True,False,False
11896,M5,False,True,False
11897,M5,False,True,False
11898,M5,True,False,False
11899,M5,True,False,False
11901,M5,False,True,False
11902,M5,True,False,False
11903,M5,False,True,False
11905,M5,True,False,False
11906,M5,False,True,False
11908,M5,False,True,False
11911,M5,True,False,False
11912,M5,True,False,False
11913,M5,True,False,False
11914,M5,False,True,False
11915,M5,False,True,False
11916,M5,True,False,False
11917,M5,True,False,False
11918,M5,True,False,False
11919,M5,True,False,False
11920,M5,False,True,False
11921,M5,True,False,False
11922,M5,True,False,False
11923,M5,True,False,False
11924,M5,True,False,False
11925,M5,True,False,False
11926,M5,True,False,False
11927,M5,True,False,False
11930,M5,True,False,False
11931,M5,True,False,False
11932,M5,True,False,False
11933,M5,True,False,False
11934,M5,False,True,False
11935,M5,True,False,False
11936,M5,True,False,False
11937,M5,True,False,False
11938,M5,True,False,False
11939,M5,True,False,False
11940,M5,True,False,False
11941,M5,True,False,False
11942,M5,True,False,False
11943,M5,True,False,False
11944,M5,True,False,False
11945,M5,True,False,False
11946,M5,True,False,False
11948,M5,False,True,False
11949,M5,False,True,False
11950,M5,True,False,False
11951,M5,True,False,False
11952,M5,True,False,False
11953,M5,True,False,False
11954,M5,True,False,False
11955,M5,True,False,False
11956,M5,True,False,False
11957,M5,True,False,False
11958,M5,True,False,False
11993,M5,True,False,False
11996,M5,True,False,False
11998,M5,True,False,False
12001,M5,True,False,False
12003,M5,True,False,False
12004,M5,True,False,False
12006,M5,True,False,False
12007,M5,False,True,False
12008,M5,True,False,False
12009,M5,True,False,False
12010,M5,True,False,False
12012,M5,True,False,False
12013,M5,True,False,False
12014,M5,True,False,False
12016,M5,False,True,False
12017,M5,False,True,False
12018,M5,True,False,False
12022,M5,True,False,False
12023,M5,True,False,False
12024,M5,True,False,False
12025,M5,True,False,False
12027,M5,True,False,False
12028,M5,True,False,False
12029,M5,True,False,False
12030,M5,True,False,False
12031,M5,False,True,False
12032,M5,False,True,False
12033,M5,False,True,False
12034,M5,True,False,False
12035,M5,True,False,False
12036,M5,False,True,False
12037,M5,True,False,False
12038,M5,True,False,False
12039,M5,True,False,False
12046,M5,False,True,False
12053,M5,False,True,False
12055,M5,True,False,False
12056,M5,False,True,False
12058,M5,True,False,False
12063,M5,False,True,False
12065,M5,True,False,False
12069,M5,True,False,False
12075,M5,True,False,False
12076,M5,False,True,False
12077,M5,True,False,False
12079,M5,True,False,False
12080,M5,True,False,False
12081,M5,True,False,False
12082,M5,True,False,False
12083,M5,True,False,False
12085,M5,True,False,False
12087,M5,True,False,False
12088,M5,True,False,False
12089,M5,True,False,False
12090,M5,True,False,False
12091,M5,True,False,False
12092,M5,False,True,False
12093,M5,False,True,False
12094,M5,True,False,False
12097,M5,True,False,False
12098,M5,True,False,False
12100,M5,True,False,False
12101,M5,True,False,False
12102,M5,True,False,False
12106,M5,True,False,False
12107,M5,True,False,False
12108,M5,False,True,False
12109,M5,True,False,False
12110,M5,True,False,False
12111,M5,True,False,False
12112,M5,True,False,False
12113,M5,True,False,False
12114,M5,True,False,False
12115,M5,True,False,False
12116,M5,True,False,False
12117,M5,False,True,False
12118,M5,True,False,False
12120,M5,True,False,False
12121,M5,True,False,False
12122,M5,True,False,False
12123,M5,False,True,False
12125,M5,True,False,False
12126,M5,True,False,False
12127,M5,True,False,False
12128,M5,True,False,False
12129,M5,True,False,False
12130,M5,False,True,False
12139,M5,True,False,False
12140,M5,False,True,False
12141,M5,True,False,False
12142,M5,True,False,False
12143,M5,False,True,False
12144,M5,True,False,False
12145,M5,True,False,False
12146,M5,True,False,False
12147,M5,True,False,False
12148,M5,True,False,False
12150,M5,False,True,False
12151,M5,True,False,False
12152,M5,True,False,False
12153,M5,True,False,False
12154,M5,True,False,False
12158,M5,True,False,False
12161,M5,False,True,False
12162,M5,True,False,False
12163,M5,False,True,False
12164,M5,False,True,False
12165,M5,True,False,False
12166,M5,True,False,False
12167,M5,False,True,False
12168,M5,True,False,False
12169,M5,True,False,False
12170,M5,True,False,False
12171,M5,True,False,False
12172,M5,True,False,False
12173,M5,False,True,False
12174,M5,True,False,False
12175,M5,True,False,False
12177,M5,True,False,False
12178,M5,True,False,False
12179,M5,True,False,False
12180,M5,False,True,False
12181,M5,True,False,False
12182,M5,True,False,False
12183,M5,True,False,False
12184,M5,True,False,False
12185,M5,True,False,False
12189,M5,True,False,False
12190,M5,True,False,False
12191,M5,True,False,False
12192,M5,True,False,False
12193,M5,True,False,False
12194,M5,True,False,False
12195,M5,True,False,False
12196,M5,True,False,False
12198,M5,True,False,False
12199,M5,True,False,False
12200,M5,True,False,False
12201,M5,True,False,False
12202,M5,True,False,False
12203,M5,True,False,False
12204,M5,True,False,False
12208,M5,True,False,False
12209,M5,True,False,False
12210,M5,False,True,False
12213,M5,True,False,False
12214,M5,True,False,False
12215,M5,True,False,False
12216,M5,True,False,False
12218,M5,True,False,False
12219,M5,True,False,False
12220,M5,True,False,False
12221,M5,True,False,False
12223,M5,True,False,False
12224,M5,False,True,False
12228,M5,True,False,False
12229,M5,True,False,False
12230,M5,True,False,False
